Date 	Day	Month	Year	Quarter	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 	Quarter22
02-12-2024 00:00	Monday	December	2024	Q4	EQ	3706.85	3717.85	3672.9	3724.8	3716	3704.05	3695.08	3919.9	3175.05	1158369	4280265838	104160	4
29-11-2024 00:00	Friday	November	2024	Q4	EQ	3635.1	3750	3635.1	3666.05	3722	3724.8	3722.73	3919.9	3035	2094305	7796535083	143088	4
28-11-2024 00:00	Thursday	November	2024	Q4	EQ	3700	3720.5	3648	3698.7	3667	3666.05	3677.58	3919.9	3035	2124283	7812227211	179728	4
27-11-2024 00:00	Wednesday	November	2024	Q4	EQ	3704	3720	3685	3702.6	3697	3698.7	3701.27	3919.9	3035	971816	3596957750	77237	4
26-11-2024 00:00	Tuesday	November	2024	Q4	EQ	3754.9	3754.9	3690	3753	3700	3702.6	3712.45	3919.9	3035	1141534	4237885362	104955	4
25-11-2024 00:00	Monday	November	2024	Q4	EQ	3660	3761	3654	3603.5	3757	3753	3741.78	3919.9	3035	4753829	17787793454	247339	4
22-11-2024 00:00	Friday	November	2024	Q4	EQ	3500	3613.5	3473.1	3483.5	3605	3603.5	3558.59	3919.9	3031.05	2534018	9017542905	148535	4
21-11-2024 00:00	Thursday	November	2024	Q4	EQ	3530	3530.55	3452.45	3505.9	3490.05	3483.5	3481.48	3919.9	3031.05	1510581	5259063799	172452	4
19-11-2024 00:00	Tuesday	November	2024	Q4	EQ	3559.9	3607	3495	3542.15	3511.2	3505.9	3561.83	3919.9	3031.05	1826460	6505545221	138984	4
18-11-2024 00:00	Monday	November	2024	Q4	EQ	3521.1	3568.3	3510.85	3526.25	3538.05	3542.15	3539.95	3919.9	3031.05	1233217	4365529596	119934	4
14-11-2024 00:00	Thursday	November	2024	Q4	EQ	3558	3565.75	3500.15	3547.95	3535	3526.25	3524.68	3919.9	3031.05	1291765	4553057913	138758	4
13-11-2024 00:00	Wednesday	November	2024	Q4	EQ	3585	3604.85	3535.65	3591.35	3548.95	3547.95	3565.63	3919.9	3031.05	1568694	5593385891	121033	4
